username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Ligne12_RATP;2014-09-18 06:36;0;0;"Bonne matinée et bon trajet aux voyageurs de la #ligne12 , Denis vous informe sur l'état du trafic #RATP";;;#ligne12 #RATP;"512460220325707776";https://twitter.com/Ligne12_RATP/status/512460220325707776
Ligne12_RATP;2014-09-17 13:37;0;0;"Jusqu'au 19/09, la RATP organise le Festival des Infos Services pour répondre à vos interrogat° sur les services RATP http://www. ratp.fr/festivaldesinf osservices/ …";;;;"512203678602633219";https://twitter.com/Ligne12_RATP/status/512203678602633219
Ligne12_RATP;2014-09-17 13:24;0;0;"Bonjour ! Cet après midi, Sylvie vous tient informés de l'état du trafic sur la #ligne12 #RATP";;;#ligne12 #RATP;"512200523513348096";https://twitter.com/Ligne12_RATP/status/512200523513348096
Ligne12_RATP;2014-09-17 06:33;0;0;"Bonjour, Denis vous accompagne et vous souhaite une bonne matinée sur la #ligne12 . Bon voyage #RATP .";;;#ligne12 #RATP;"512096978923429888";https://twitter.com/Ligne12_RATP/status/512096978923429888
Ligne12_RATP;2014-09-16 19:54;0;0;"Retour à un trafic régulier sur l'ensemble de la #Ligne12 #RATP . Incident terminé.";;;#Ligne12 #RATP;"511936299339890688";https://twitter.com/Ligne12_RATP/status/511936299339890688
Ligne12_RATP;2014-09-16 18:44;1;0;"18:42, le trafic reprend progressivement (colis suspect) #RATP #Ligne12";;;#RATP #Ligne12;"511918683917398017";https://twitter.com/Ligne12_RATP/status/511918683917398017
Ligne12_RATP;2014-09-16 18:19;1;1;"18:16, le trafic est interrompu entre Trinite-d'Estienne d'Orves et J. Joffrin. Retour à la normale à 18:45. (colis suspect) #RATP #Ligne12";;;#RATP #Ligne12;"511912141893677056";https://twitter.com/Ligne12_RATP/status/511912141893677056
Ligne12_RATP;2014-09-16 17:43;0;0;"17:41, le trafic est ralenti sur la ligne (voyageur sur la voie) #RATP #Ligne12";;;#RATP #Ligne12;"511903332324372480";https://twitter.com/Ligne12_RATP/status/511903332324372480
Ligne12_RATP;2014-09-16 16:01;4;0;"[Semaine de la #mobilité ] La #RATP vous invite à découvrir le chantier du prolongement #ligne12 ! http://www. ratp.fr/fr/ratp/r_1170 12/semaine-europeenne-de-la-mobilite-la-ratp-cree-l-evenement-/ … cc @ecologiEnergie";;@ecologiEnergie;#mobilit #RATP #ligne12;"511877428969345024";https://twitter.com/Ligne12_RATP/status/511877428969345024
Ligne12_RATP;2014-09-16 14:44;0;0;"Bienvenue aux voyageurs de la #ligne12 Ici Pascal pour vous tenir au courant sur l'état du trafic. Bon voyage #RATP";;;#ligne12 #RATP;"511858154658070528";https://twitter.com/Ligne12_RATP/status/511858154658070528
