2014-01-01,Ligne6_RATP,1
2014-01-01,Ligne8_RATP,3
2014-01-01,Ligne9_RATP,5
2014-01-02,Ligne9_RATP,3
2014-01-02,RERB,5
2014-01-02,RER_A,4
2014-01-03,Ligne13_RATP,10
2014-01-03,Ligne4_RATP,2
2014-01-03,Ligne5_RATP,3
2014-01-03,Ligne7_RATP,14
2014-01-03,Ligne8_RATP,8
2014-01-03,RERB,3
2014-01-03,RERD_SNCF,1
2014-01-03,RER_A,13
2014-01-04,Ligne3_RATP,2
2014-01-04,Ligne8_RATP,3
2014-01-04,RERB,9
2014-01-05,Ligne8_RATP,13
2014-01-05,RERB,3
2014-01-05,RER_A,2
2014-01-06,Ligne1_RATP,1
2014-01-06,Ligne8_RATP,4
2014-01-06,RERB,3
2014-01-07,Ligne12_RATP,3
2014-01-07,Ligne13_RATP,2
2014-01-07,Ligne2_RATP,11
2014-01-07,Ligne7_RATP,2
2014-01-07,RERB,6
2014-01-07,RERD_SNCF,3
2014-01-07,RER_A,2
2014-01-08,Ligne13_RATP,5
2014-01-08,RERB,5
2014-01-08,RERD_SNCF,4
2014-01-08,RER_A,4
2014-01-09,Ligne10_RATP,2
2014-01-09,Ligne11_RATP,2
2014-01-09,Ligne14_RATP,6
2014-01-09,Ligne1_RATP,6
2014-01-09,Ligne2_RATP,2
2014-01-09,Ligne4_RATP,4
2014-01-09,Ligne5_RATP,6
2014-01-09,Ligne6_RATP,4
2014-01-09,Ligne7_RATP,2
2014-01-09,RERB,12
2014-01-09,RERD_SNCF,8
2014-01-10,Ligne10_RATP,3
2014-01-10,Ligne12_RATP,5
2014-01-10,Ligne2_RATP,5
2014-01-10,Ligne3_RATP,2
2014-01-10,Ligne5_RATP,2
2014-01-10,Ligne9_RATP,3
2014-01-10,RERB,9
2014-01-10,RERD_SNCF,4
2014-01-10,RER_A,1
2014-01-11,Ligne13_RATP,9
2014-01-11,Ligne1_RATP,4
2014-01-11,Ligne3_RATP,5
2014-01-11,Ligne4_RATP,3
2014-01-11,RER_A,7
2014-01-12,Ligne12_RATP,2
2014-01-12,Ligne14_RATP,3
2014-01-12,Ligne7_RATP,3
2014-01-12,Ligne9_RATP,5
2014-01-13,Ligne10_RATP,2
2014-01-13,Ligne11_RATP,2
2014-01-13,Ligne13_RATP,3
2014-01-13,Ligne14_RATP,2
2014-01-13,Ligne1_RATP,3
2014-01-13,Ligne2_RATP,2
2014-01-13,Ligne4_RATP,10
2014-01-13,Ligne5_RATP,2
2014-01-13,Ligne6_RATP,7
2014-01-13,Ligne7_RATP,6
2014-01-13,RERB,6
2014-01-13,RERD_SNCF,1
2014-01-13,RER_A,11
2014-01-14,Ligne13_RATP,6
2014-01-14,Ligne2_RATP,8
2014-01-14,RERB,2
2014-01-14,RERD_SNCF,1
2014-01-15,Ligne3_RATP,3
2014-01-15,Ligne6_RATP,5
2014-01-15,Ligne9_RATP,2
2014-01-15,RERB,25
2014-01-15,RERD_SNCF,2
2014-01-15,RER_A,6
2014-01-16,Ligne14_RATP,6
2014-01-16,Ligne1_RATP,8
2014-01-16,Ligne2_RATP,6
2014-01-16,Ligne3_RATP,3
2014-01-16,Ligne4_RATP,2
2014-01-16,Ligne8_RATP,5
2014-01-16,RERB,12
2014-01-16,RERD_SNCF,1
2014-01-16,RER_A,7
2014-01-17,Ligne12_RATP,5
2014-01-17,Ligne14_RATP,5
2014-01-17,Ligne1_RATP,7
2014-01-17,Ligne2_RATP,2
2014-01-17,Ligne8_RATP,1
2014-01-17,RERB,4
2014-01-17,RERD_SNCF,4
2014-01-17,RER_A,18
2014-01-18,Ligne10_RATP,2
2014-01-18,Ligne6_RATP,2
2014-01-18,Ligne8_RATP,5
2014-01-18,RERB,1
2014-01-18,RER_A,3
2014-01-19,Ligne10_RATP,2
2014-01-19,Ligne11_RATP,2
2014-01-19,Ligne12_RATP,5
2014-01-19,Ligne14_RATP,2
2014-01-19,Ligne1_RATP,2
2014-01-19,Ligne2_RATP,2
2014-01-19,Ligne4_RATP,2
2014-01-19,Ligne5_RATP,2
2014-01-19,Ligne6_RATP,2
2014-01-19,RERB,2
2014-01-19,RER_A,2
2014-01-20,Ligne1_RATP,1
2014-01-20,Ligne8_RATP,2
2014-01-20,Ligne9_RATP,4
2014-01-20,RERD_SNCF,2
2014-01-20,RER_A,5
2014-01-21,Ligne13_RATP,4
2014-01-21,Ligne4_RATP,6
2014-01-21,Ligne7_RATP,2
2014-01-21,RERB,6
2014-01-21,RERD_SNCF,5
2014-01-21,RER_A,5
2014-01-22,Ligne10_RATP,2
2014-01-22,Ligne11_RATP,2
2014-01-22,Ligne14_RATP,1
2014-01-22,Ligne1_RATP,2
2014-01-22,Ligne2_RATP,4
2014-01-22,Ligne4_RATP,2
2014-01-22,Ligne5_RATP,2
2014-01-22,Ligne6_RATP,6
2014-01-22,Ligne7_RATP,6
2014-01-22,RERB,4
2014-01-22,RERD_SNCF,1
2014-01-22,RER_A,14
2014-01-23,Ligne12_RATP,3
2014-01-23,Ligne13_RATP,7
2014-01-23,Ligne14_RATP,3
2014-01-23,Ligne2_RATP,3
2014-01-23,Ligne3_RATP,5
2014-01-23,Ligne8_RATP,2
2014-01-23,RERB,3
